model_id_1,model_id_2,left,rope,right
svmLinear2_1_forum,adaboost_100_Real adaboost_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,adaboost_100_Real adaboost_all,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_100_Adaboost.M1_quiz,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_100_Adaboost.M1_forum,0.0,1.0,0.0
svmLinear2_1_forum,adaboost_100_Adaboost.M1_clickstream,0.0,0.0,1.0
svmLinear2_1_forum,adaboost_100_Adaboost.M1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_10_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_10_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,svmLinear2_10_clickstream,0.0007,0.0,0.9993
svmLinear2_1_clickstream,svmLinear2_10_all,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.1_clickstream,0.85308,0.0,0.14692
svmLinear2_1_clickstream,svmLinear2_0.1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.01_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.01_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.01_clickstream,0.80804,0.0,0.19196
svmLinear2_1_clickstream,svmLinear2_0.01_all,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.001_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.001_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,svmLinear2_0.001_clickstream,0.95252,0.0,0.04748
svmLinear2_1_clickstream,svmLinear2_0.001_all,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,rpart_1_clickstream,1.0,0.0,0.0
svmLinear2_1_clickstream,rpart_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_0.1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_0.1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,rpart_0.1_clickstream,1.0,0.0,0.0
svmLinear2_1_clickstream,rpart_0.1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_0.01_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_0.01_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,rpart_0.01_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,rpart_0.01_all,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_0.001_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,rpart_0.001_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,rpart_0.001_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,rpart_0.001_all,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_1_TRUE_1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_1_TRUE_1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,nb_1_TRUE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,nb_1_TRUE_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_1_FALSE_1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_1_FALSE_1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,nb_1_FALSE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,nb_1_FALSE_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_0_TRUE_1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_0_TRUE_1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,nb_0_TRUE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,nb_0_TRUE_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_0_FALSE_1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,nb_0_FALSE_1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,nb_0_FALSE_1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,nb_0_FALSE_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,glmnet_0_1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,glmnet_0_1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,glmnet_0_0_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,glmnet_0_0_all,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,glmnet_0_0.1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.01_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.01_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.01_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,glmnet_0_0.01_all,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.001_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.001_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,glmnet_0_0.001_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,glmnet_0_0.001_all,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_50_Real adaboost_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_50_Real adaboost_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_50_Real adaboost_clickstream,0.27594,0.0,0.72406
svmLinear2_1_clickstream,adaboost_50_Real adaboost_all,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_50_Adaboost.M1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_50_Adaboost.M1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_50_Adaboost.M1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,adaboost_50_Adaboost.M1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_500_Real adaboost_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_500_Real adaboost_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_500_Real adaboost_clickstream,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_500_Real adaboost_all,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_500_Adaboost.M1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_500_Adaboost.M1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_500_Adaboost.M1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,adaboost_500_Adaboost.M1_all,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_100_Real adaboost_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_100_Real adaboost_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_100_Real adaboost_clickstream,0.95166,0.0,0.04834
svmLinear2_1_clickstream,adaboost_100_Real adaboost_all,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_100_Adaboost.M1_quiz,0.0,1.0,0.0
svmLinear2_1_clickstream,adaboost_100_Adaboost.M1_forum,1.0,0.0,0.0
svmLinear2_1_clickstream,adaboost_100_Adaboost.M1_clickstream,0.0,0.0,1.0
svmLinear2_1_clickstream,adaboost_100_Adaboost.M1_all,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_10_quiz,1.0,0.0,0.0
svmLinear2_1_all,svmLinear2_10_forum,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_10_clickstream,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_10_all,0.00012,0.0,0.99988
svmLinear2_1_all,svmLinear2_0.1_quiz,1.0,0.0,0.0
svmLinear2_1_all,svmLinear2_0.1_forum,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_0.1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_0.1_all,0.9976,0.0,0.0024
svmLinear2_1_all,svmLinear2_0.01_quiz,1.0,0.0,0.0
svmLinear2_1_all,svmLinear2_0.01_forum,0.0,1.0,0.0
